"ID","City","Group_size","Age","MPI#Mean","TOM","BUMO","BUMO_Previous","MostFavourite","Gender","MPI#detail","Age#group","Age#Group#2","MPI","MPI#2","Occupation","Occupation#group","Year","MPI_Mean_Use","MPI#detail_imp","Age_imp"
383881,"Cần Thơ",3,35,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Semi-skilled labor","Blue Collar",2018,5499,FALSE,FALSE
389419,"Cần Thơ",3,36,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
390352,"Hồ Chí Minh",3,32,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
391988,"Hải Phòng",3,45,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
394547,"Hải Phòng",3,48,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
395040,"Hà Nội",3,32,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
399751,"Hà Nội",3,34,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
411800,"Hà Nội",3,26,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Semi-skilled labor","Blue Collar",2018,5499,FALSE,FALSE
413830,"Hải Phòng",3,25,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
415025,"Nha Trang",3,33,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
415529,"Cần Thơ",3,55,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
419145,"Cần Thơ",3,32,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
419358,"Hải Phòng",3,43,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","40 - 44","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
421467,"Đà Nẵng",3,50,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
423075,"Nha Trang",3,53,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
430294,"Hải Phòng",3,32,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
430348,"Hải Phòng",3,60,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
433262,"Hải Phòng",3,24,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","20 - 24","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
434856,"Hải Phòng",3,39,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
435053,"Hải Phòng",3,46,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
439304,"Nha Trang",3,54,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
439569,"Cần Thơ",3,33,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
442479,"Nha Trang",3,21,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","20 - 24","4.5M – 8.9M","2","Semi-skilled labor","Blue Collar",2018,5499,FALSE,FALSE
443620,"Hải Phòng",3,28,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
443726,"Hà Nội",3,43,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","40 - 44","4.5M – 8.9M","2","Semi-skilled labor","Blue Collar",2018,5499,FALSE,FALSE
443998,"Hà Nội",3,49,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
444080,"Hà Nội",3,38,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
444604,"Cần Thơ",3,23,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","20 - 24","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
445293,"Cần Thơ",3,48,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Semi-skilled labor","Blue Collar",2018,5499,FALSE,FALSE
445297,"Hải Phòng",3,34,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
446009,"Đà Nẵng",3,30,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
446046,"Cần Thơ",3,30,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
446092,"Hà Nội",3,51,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
446195,"Hà Nội",3,58,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
448666,"Hà Nội",3,23,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","20 - 24","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
448732,"Hà Nội",3,52,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
449279,"Hà Nội",3,50,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
449428,"Hà Nội",3,53,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Semi-skilled labor","Blue Collar",2018,5499,FALSE,FALSE
450819,"Hải Phòng",3,32,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
450832,"Hải Phòng",3,32,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
452516,"Hà Nội",3,55,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2018,5499,FALSE,FALSE
454969,"Hà Nội",3,37,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Semi-skilled labor","Blue Collar",2018,5499,FALSE,FALSE
455083,"Hà Nội",3,33,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Semi-skilled labor","Blue Collar",2018,5499,FALSE,FALSE
455319,"Hà Nội",3,38,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Semi-skilled labor","Blue Collar",2018,5499,FALSE,FALSE
458207,"Hà Nội",3,34,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
459787,"Hà Nội",3,38,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2018,5499,FALSE,FALSE
729375,"Đà Nẵng",3,45,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2019,5499,FALSE,FALSE
739684,"Hà Nội",3,52,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2019,5499,FALSE,FALSE
768874,"Cần Thơ",3,39,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
779711,"Hà Nội",3,45,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2019,5499,FALSE,FALSE
779883,"Đà Nẵng",3,25,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2019,5499,FALSE,FALSE
782797,"Đà Nẵng",3,21,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","20 - 24","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
783137,"Đà Nẵng",3,28,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2019,5499,FALSE,FALSE
792058,"Hà Nội",3,34,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
799561,"Hải Phòng",3,50,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
800134,"Đà Nẵng",3,28,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
800856,"Hà Nội",3,51,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2019,5499,FALSE,FALSE
802966,"Nha Trang",3,44,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","40 - 44","4.5M – 8.9M","2","Semi-skilled labor","Blue Collar",2019,5499,FALSE,FALSE
808797,"Cần Thơ",3,36,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
812081,"Hà Nội",3,32,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
812792,"Cần Thơ",3,34,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
818279,"Hà Nội",3,50,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2019,5499,FALSE,FALSE
818453,"Hà Nội",3,36,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
826337,"Hà Nội",3,48,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
828520,"Cần Thơ",3,55,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
832795,"Cần Thơ",3,43,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","40 - 44","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2019,5499,FALSE,FALSE
840036,"Cần Thơ",3,24,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","20 - 24","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
841702,"Cần Thơ",3,23,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","20 - 24","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2019,5499,FALSE,FALSE
843729,"Cần Thơ",3,30,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Unskilled Labor","Blue Collar",2019,5499,FALSE,FALSE
844773,"Cần Thơ",3,27,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Skilled Labor","Blue Collar",2019,5499,FALSE,FALSE
365717,"Đà Nẵng",3,25,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
366452,"Cần Thơ",3,34,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Housewife","None Working",2018,5499,FALSE,FALSE
366855,"Cần Thơ",3,34,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
368419,"Cần Thơ",3,28,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
371398,"Hà Nội",3,38,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Small Business","Self Employed - Small Business and Freelance",2018,5499,FALSE,FALSE
373685,"Hồ Chí Minh",3,27,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Lecturer / Teacher","White Collar",2018,5499,FALSE,FALSE
378154,"Cần Thơ",3,28,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
379200,"Đà Nẵng",3,27,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Housewife","None Working",2018,5499,FALSE,FALSE
382217,"Hà Nội",3,34,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Broker/ Service provider with no employee","Self Employed - Small Business and Freelance",2018,5499,FALSE,FALSE
383731,"Cần Thơ",3,35,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
383803,"Cần Thơ",3,32,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Lecturer / Teacher","White Collar",2018,5499,FALSE,FALSE
384239,"Hà Nội",3,26,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Broker/ Service provider with no employee","Self Employed - Small Business and Freelance",2018,5499,FALSE,FALSE
392015,"Hải Phòng",3,53,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Retirement","None Working",2018,5499,FALSE,FALSE
399259,"Hải Phòng",3,29,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Small Business","Self Employed - Small Business and Freelance",2018,5499,FALSE,FALSE
402504,"Đà Nẵng",3,46,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Lecturer / Teacher","White Collar",2018,5499,FALSE,FALSE
402940,"Đà Nẵng",3,29,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
409131,"Hà Nội",3,50,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Housewife","None Working",2018,5499,FALSE,FALSE
410854,"Hà Nội",3,23,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","20 - 24","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
410858,"Hà Nội",3,31,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Broker/ Service provider with no employee","Self Employed - Small Business and Freelance",2018,5499,FALSE,FALSE
411456,"Hà Nội",3,25,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
411459,"Hà Nội",3,35,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
411679,"Hà Nội",3,22,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","20 - 24","4.5M – 8.9M","2","Pupil / Student","None Working",2018,5499,FALSE,FALSE
412527,"Đà Nẵng",3,33,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Small Business","Self Employed - Small Business and Freelance",2018,5499,FALSE,FALSE
415173,"Hải Phòng",3,37,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Lecturer / Teacher","White Collar",2018,5499,FALSE,FALSE
419054,"Cần Thơ",3,22,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","20 - 24","4.5M – 8.9M","2","Pupil / Student","None Working",2018,5499,FALSE,FALSE
427010,"Hải Phòng",3,32,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Lecturer / Teacher","White Collar",2018,5499,FALSE,FALSE
433700,"Hà Nội",3,34,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Broker/ Service provider with no employee","Self Employed - Small Business and Freelance",2018,5499,FALSE,FALSE
437271,"Hải Phòng",3,36,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Lecturer / Teacher","White Collar",2018,5499,FALSE,FALSE
440522,"Hải Phòng",3,54,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Broker/ Service provider with no employee","Self Employed - Small Business and Freelance",2018,5499,FALSE,FALSE
441907,"Hà Nội",3,28,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
442575,"Hải Phòng",3,40,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","40 - 44","4.5M – 8.9M","2","Broker/ Service provider with no employee","Self Employed - Small Business and Freelance",2018,5499,FALSE,FALSE
443563,"Hà Nội",3,30,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Lecturer / Teacher","White Collar",2018,5499,FALSE,FALSE
443648,"Hà Nội",3,52,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Broker/ Service provider with no employee","Self Employed - Small Business and Freelance",2018,5499,FALSE,FALSE
443653,"Hà Nội",3,30,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Professional","White Collar",2018,5499,FALSE,FALSE
444589,"Cần Thơ",3,26,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Professional","White Collar",2018,5499,FALSE,FALSE
444596,"Cần Thơ",3,27,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
445325,"Hải Phòng",3,28,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
448071,"Hà Nội",3,26,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Pupil / Student","None Working",2018,5499,FALSE,FALSE
450135,"Hà Nội",3,25,5499,"Other","Other",NA,"Other","Male","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Military / Police","Other Occupations",2018,5499,FALSE,FALSE
451937,"Hải Phòng",3,42,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","40 - 44","4.5M – 8.9M","2","Lecturer / Teacher","White Collar",2018,5499,FALSE,FALSE
452319,"Đà Nẵng",3,38,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Lecturer / Teacher","White Collar",2018,5499,FALSE,FALSE
452522,"Hà Nội",3,27,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
452747,"Hà Nội",3,31,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","30 - 34","4.5M – 8.9M","2","Broker/ Service provider with no employee","Self Employed - Small Business and Freelance",2018,5499,FALSE,FALSE
453578,"Hà Nội",3,27,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","20 - 29","25 - 29","4.5M – 8.9M","2","Officer - Staff level","White Collar",2018,5499,FALSE,FALSE
455623,"Hà Nội",3,56,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","> 45","4.5M – 8.9M","2","Broker/ Service provider with no employee","Self Employed - Small Business and Freelance",2018,5499,FALSE,FALSE
456549,"Hồ Chí Minh",3,39,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Housewife","None Working",2018,5499,FALSE,FALSE
460230,"Đà Nẵng",3,44,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","40 - 60","40 - 44","4.5M – 8.9M","2","Lecturer / Teacher","White Collar",2018,5499,FALSE,FALSE
460591,"Đà Nẵng",3,35,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Lecturer / Teacher","White Collar",2018,5499,FALSE,FALSE
742145,"Đà Nẵng",3,37,5499,"Other","Other",NA,"Other","Female","4.5M – 6.49M","30 - 39","35 - 39","4.5M – 8.9M","2","Freelance","Self Employed - Small Business and Freelance",2019,5499,FALSE,FALSE
